Word,Frequency
hug,27
across,27
specific,27
film,27
mural,27
luke,27
draw,27
accountant,27
charity,27
mama,27
throwing,27
hudson,26
breaking,26
pop,26
comedy,26
unfortunately,26
animals,26
add,26
harder,26
due,26
apart,26
saturday,26
cats,26
stress,26
china,26
rid,26
hay,26
meaning,26
large,26
deep,26
appropriate,26
cruise,26
creative,26
became,26
gifts,26
dark,26
contact,26
screwed,26
hank,26
mail,26
circle,26
printers,26
attractive,26
dumb,26
issue,26
lights,26
van,26
attack,26
court,26
hide,26
settle,26
killer,26
law,26
based,26
shame,26
besides,26
whoever,26
heh,26
ahhh,26
stories,26
baseball,26
printer,26
tall,26
toy,26
messages,26
obvious,26
annex,25
covered,25
apple,25
difficult,25
reports,25
address,25
filled,25
specifically,25
roof,25
scarn,25
keeps,25
wild,25
classy,25
drove,25
exercise,25
jokes,25
dated,25
hook,25
example,25
exact,25
expecting,25
environment,25
paint,25
wheel,25
phones,25
glass,25
kapoor,25
loser,25
bringing,25
responsibility,25
quality,25
drama,25
killing,25
aww,25
starts,25
reception,25
bottom,25
shhh,25
butter,25
male,25
insurance,25
upon,25
ordered,25
sheriff,25
elevator,25
yo,24
carpet,24
barely,24
considered,24
nashua,24
secretary,24
balls,24
passed,24
sat,24
relationships,24
flowers,24
utica,24
hoo,24
surprised,24
firing,24
staying,24
others,24
bike,24
arms,24
liar,24
truly,24
normally,24
empty,24
bears,24
leader,24
jealous,24
doubt,24
within,24
ruin,24
shopping,24
legs,24
strangler,24
workers,24
embarrassing,24
seemed,24
agent,24
changes,24
awkward,24
embarrassed,24
wash,24
complicated,24
theme,24
item,24
brown,24
ton,24
window,24
plane,24
sending,24
thoughts,24
traffic,24
ohhh,24
burned,24
property,23
opening,23
fail,23
brothers,23
regret,23
protect,23
drinks,23
arm,23
duty,23
project,23
aunt,23
closer,23
replace,23
blame,23
english,23
evening,23
willing,23
prefer,23
depression,23
crack,23
knife,23
terms,23
sue,23
tallahassee,23
hall,23
taught,23
chain,23
begin,23
suppose,23
exist,23
poison,23
beets,23
sheet,23
shrute,23
ended,23
judge,23
related,23
hm,23
holiday,23
officially,23
boxes,23
interrupt,23
saving,23
drug,23
wrap,23
stomach,23
kicked,23
oooh,23
places,23
however,23
confused,23
sec,23
extremely,23
yay,22
gotcha,22
manage,22
shows,22
interest,22
page,22
natural,22
limit,22
dot,22
cross,22
issues,22
tired,22
county,22
levinson,22
aah,22
pen,22
driver,22
george,22
italian,22
allow,22
ear,22
capable,22
operation,22
urine,22
prepared,22
fool,22
block,22
destroy,22
wet,22
divorced,22
outta,22
forty,22
perhaps,22
pill,22
lock,22
lied,22
train,22
learning,22
faces,22
diversity,22
funeral,22
sugar,22
industry,22
connection,22
queen,22
flenderson,22
quickly,22
weirdo,22
mention,22
steve,22
purpose,22
directly,22
teacher,22
behavior,22
talks,22
locked,22
nights,22
grade,22
cow,22
philadelphia,22
cupcakes,22
image,22
soul,21
pulled,21
pies,21
nailed,21
peanut,21
everywhere,21
basketball,21
pound,21
complete,21
search,21
grandfather,21
loyalty,21
female,21
soccer,21
opinion,21
complaint,21
guest,21
promotion,21
cathy,21
popular,21
design,21
computers,21
soup,21
